Url,Sum of StorageUsed,Sum of StorageMetrics.TotalSize,Sum of StorageMetrics.TotalFileStreamSize,Sum of StorageMetrics.MetadataSize,Sum of storageUsedInDrives,,Sum of numberOfDrives,Sum of fileCount,Sum of PreviousVersionSize
https://groverale.sharepoint.com/,3462628,3040124,623175,140335,53198,2276614,3,46,-569977
https://groverale.sharepoint.com/portals/alex,1715563,1621957,3846,64314,0,1553797,4,1,-3846
https://groverale.sharepoint.com/portals/hub,1595733,1567893,66996,64186,3353,1436711,1,7,-63643
https://groverale.sharepoint.com/portals/personal/alex,1791015,1697713,4787,63247,941,1629679,4,2,-3846
https://groverale.sharepoint.com/search,33763694,33279210,1064318,436231,39639,31778661,7,106,-1024679
https://groverale.sharepoint.com/sites/150,1609906,1502134,28168,66991,0,1406975,1,4,-28168
https://groverale.sharepoint.com/sites/201,1701638,1593866,47741,69774,17435,1476351,1,5,-30306
https://groverale.sharepoint.com/sites/AchiveHub,1675980,1565329,11714,125964,20113,1427651,1,3,8399
https://groverale.sharepoint.com/sites/acrolinx,5780750,5667124,2092505,71356,2080038,3503263,1,5,-12467
https://groverale.sharepoint.com/sites/Adoptify,8512807,8394363,3949461,2300704,3937031,2144198,6,47,-12430
https://groverale.sharepoint.com/sites/Adoptify2,49857643,28228241,3996417,21972080,3983275,2259744,6,54,-13142
https://groverale.sharepoint.com/sites/adoptifyag,6,-50275477,6339062,-62545310,0,5930771,1,77,-6339062
https://groverale.sharepoint.com/sites/adoptifyag2,1782880,1669424,0,62031,0,1607393,1,0,0
https://groverale.sharepoint.com/sites/AdoptionTeam,2022514,1705826,78931,66202,0,1560693,1,7,-78931
https://groverale.sharepoint.com/sites/ajw-group,6966292,6662612,314535,1743541,0,4604536,1,18,-314535
https://groverale.sharepoint.com/sites/alex,3709256,3402940,1132233,102800,655416,2167907,2,34,-476817
https://groverale.sharepoint.com/sites/AlexTeam,2489919,2184397,480939,71491,18098,1631967,1,28,-462841
https://groverale.sharepoint.com/sites/AllTheDrives,17683245,17251485,13097,63274,0,17175114,401,2,-13097
https://groverale.sharepoint.com/sites/apitest,12444485611,12444092853,12436116908,3568384,12435672000,4407561,14,12027,-444908
https://groverale.sharepoint.com/sites/apps,52806543,52436387,30012998,875240,21955794,21548149,2,414,-8057204
https://groverale.sharepoint.com/sites/archdemo,1595990,1497654,29644,60466,17010,1407544,1,3,-12634
https://groverale.sharepoint.com/sites/archDemo2,1612310,1538052,43818,68249,31701,1425985,1,13,-12117
https://groverale.sharepoint.com/sites/archivedev,5831365,3425893,433156,159664,420906,2833073,4,68,-12250
https://groverale.sharepoint.com/sites/archiverun,1657480,1572589,51541,61295,38907,1472387,1,4,-12634
https://groverale.sharepoint.com/sites/archivetest,2831502,2782469,139496,77577,128277,2565396,3,17,-11219
https://groverale.sharepoint.com/sites/Blankteam,2397206,2092766,388457,80561,17744,1623748,1,27,-370713
https://groverale.sharepoint.com/sites/Boardmiseter,44847274,44734108,2999351,148697,2839272,41586060,1,15,-160079
https://groverale.sharepoint.com/sites/cangecoms,2052198,1744974,207895,57617,0,1479462,1,13,-207895
https://groverale.sharepoint.com/sites/CarTeamSite,1566421,1461361,0,51993,0,1409368,1,0,0
https://groverale.sharepoint.com/sites/CarTest2,1570548,1465376,0,52211,0,1413165,1,0,0
https://groverale.sharepoint.com/sites/cartool,17646407,17536425,6048540,-71016,0,11558901,3,11,-6048540
https://groverale.sharepoint.com/sites/ChangeURL,2163457,1858241,266105,67521,0,1524615,1,16,-266105
https://groverale.sharepoint.com/sites/Child,1607386,1501446,13637,57798,0,1430011,1,3,-13637
https://groverale.sharepoint.com/sites/collaboration,14500859,13983921,850980,186169,5949,12946772,7,48,-845031
https://groverale.sharepoint.com/sites/CollaborationApprovers,1572325,1467989,0,57965,0,1410024,1,0,0
https://groverale.sharepoint.com/sites/CompanyWide,1904530,1589482,55220,66179,0,1468083,1,3,-55220
https://groverale.sharepoint.com/sites/contentTypeHub,13051903,12588292,222722,510391,103,11855179,4,18,-222619
https://groverale.sharepoint.com/sites/default-coms,2143817,1835805,294407,60185,0,1481213,1,18,-294407
https://groverale.sharepoint.com/sites/defualt-teams,2219862,1916150,320900,71496,0,1523754,1,18,-320900
https://groverale.sharepoint.com/sites/demomarketing,2204003,1900291,307826,70213,0,1522252,1,17,-307826
https://groverale.sharepoint.com/sites/demoportal,2145715,1835083,275103,61422,0,1498558,1,18,-275103
https://groverale.sharepoint.com/sites/DemoTest,1521763,1417891,0,59678,0,1358213,1,0,0
https://groverale.sharepoint.com/sites/DemoTestGroup,1521612,1417860,0,59620,0,1358240,1,0,0
https://groverale.sharepoint.com/sites/dev-countries,2368771,2064363,386446,77838,0,1600079,1,24,-386446
https://groverale.sharepoint.com/sites/dev-countries2,2315199,2010791,362491,73815,0,1574485,1,22,-362491
https://groverale.sharepoint.com/sites/dev-countries3,2322557,2018117,343485,75539,0,1599093,1,21,-343485
https://groverale.sharepoint.com/sites/dev-goals,2210021,1902005,296049,72122,0,1533834,1,19,-296049
https://groverale.sharepoint.com/sites/dev-goals2,2183795,1875779,280687,64525,0,1530567,1,18,-280687
https://groverale.sharepoint.com/sites/dev-goals3,2180408,1872392,280718,62511,0,1529163,1,18,-280718
https://groverale.sharepoint.com/sites/dev-howdoi,2194051,1886035,286596,67223,0,1532216,1,18,-286596
https://groverale.sharepoint.com/sites/dev-hub2,2448890,2139243,539655,72998,0,1526590,1,36,-539655
https://groverale.sharepoint.com/sites/dev-hub3,2423710,2115742,448088,77288,0,1590366,1,29,-448088
https://groverale.sharepoint.com/sites/dev-learn2,2183535,1875519,280598,64388,0,1530533,1,18,-280598
https://groverale.sharepoint.com/sites/dev-learn3,2180211,1872195,280697,62325,0,1529173,1,18,-280697
https://groverale.sharepoint.com/sites/dev-legacyintranet-countries-t,2113888,1806632,270699,58566,0,1477367,1,16,-270699
https://groverale.sharepoint.com/sites/dev-legacyintranet-countries-t2,2074214,1771222,238250,66346,0,1466626,1,14,-238250
https://groverale.sharepoint.com/sites/dev-legacyintranet-howdoi,2080612,1774076,239728,57881,0,1476467,1,15,-239728
https://groverale.sharepoint.com/sites/DevSite,23889742,23775834,22285179,70590,22266794,1420065,1,4,-18385
https://groverale.sharepoint.com/sites/dev-test,2169377,1861361,280422,58527,0,1522412,1,18,-280422
https://groverale.sharepoint.com/sites/dev-test-team,2301020,1996580,347706,71016,0,1577858,1,21,-347706
https://groverale.sharepoint.com/sites/documentum5,18320856,17379372,1444975,855298,23700,15079099,31,129,-1421275
https://groverale.sharepoint.com/sites/Dopeski,1963017,1648551,107008,67827,0,1473716,1,6,-107008
https://groverale.sharepoint.com/sites/Dopeski2,1937139,1622789,88764,65969,0,1468056,1,5,-88764
https://groverale.sharepoint.com/sites/Dopeski3,1944392,1629926,88949,67404,0,1473573,1,5,-88949
https://groverale.sharepoint.com/sites/Dopeski4,1967625,1653159,88887,68854,0,1495418,1,5,-88887
https://groverale.sharepoint.com/sites/dopeski5,1967490,1653024,88880,68735,0,1495409,1,5,-88880
https://groverale.sharepoint.com/sites/ExternalGuests,2212789,1909109,255832,69370,606,1583907,2,16,-255226
https://groverale.sharepoint.com/sites/ExternalSharingProTest,1519026,1408394,1617,53545,0,1353232,1,1,-1617
https://groverale.sharepoint.com/sites/ExternalTeam,2113657,1810329,221936,67005,0,1521388,1,13,-221936
https://groverale.sharepoint.com/sites/fakesite,1522656,1417964,0,59767,0,1358197,1,0,0
https://groverale.sharepoint.com/sites/FileMove,2304103,1990649,192695,73907,0,1724047,1,12,-192695
https://groverale.sharepoint.com/sites/firsthub,17275056,16968634,15270751,85589,14877805,1612294,2,33,-392946
https://groverale.sharepoint.com/sites/group,1586971,1480011,13689,63044,0,1403278,1,2,-13689
https://groverale.sharepoint.com/sites/GrovealDigitial,23969340,23663852,5609809,205809,5236451,17848234,2,52,-373358
https://groverale.sharepoint.com/sites/home,164710799,164572405,68411085,1501324,60722240,94659996,6,162,-7688845
https://groverale.sharepoint.com/sites/Howtouseteams,1887019,1571955,38134,65818,0,1468003,1,2,-38134
https://groverale.sharepoint.com/sites/hybridwork,81834377,81726301,79055423,264473,45239209,2406405,1,97,-33816214
https://groverale.sharepoint.com/sites/instranet-03,2035346,1715448,155643,59041,0,1500764,1,10,-155643
https://groverale.sharepoint.com/sites/intranet-01,3003470,2695076,689174,115948,147456,1889954,1,35,-541718
https://groverale.sharepoint.com/sites/intranet-02,2724896,2416944,599448,89388,0,1728108,1,36,-599448
https://groverale.sharepoint.com/sites/intranet-2,2085217,1778681,242340,59436,0,1476905,1,17,-242340
https://groverale.sharepoint.com/sites/intrannet-teams,2209699,1905987,312314,71430,0,1522243,1,19,-312314
https://groverale.sharepoint.com/sites/intreanet-teasm,2067179,1751201,158673,70449,0,1522079,1,10,-158673
https://groverale.sharepoint.com/sites/itgroup,396802414,396694990,393542681,78325,393542681,3073984,1,5,0
https://groverale.sharepoint.com/sites/LearningRepo,1595543,1491631,11334,58238,0,1422059,1,2,-11334
https://groverale.sharepoint.com/sites/M365Team,2894930,2579070,980661,75805,886475,1522604,1,11,-94186
https://groverale.sharepoint.com/sites/mailenabled,1521682,1414722,0,62396,0,1352326,1,0,0
https://groverale.sharepoint.com/sites/metalogixmig,137040361,136648663,133233502,192044,180016,3223117,2,87,-133053486
https://groverale.sharepoint.com/sites/migtest1,2127706270,2127340638,2123888191,721757,2123390994,2730690,2,2080,-497197
https://groverale.sharepoint.com/sites/migtest10,2128201809,2127810311,2123856553,713589,2123390994,3240169,2,2078,-465559
https://groverale.sharepoint.com/sites/migtest11,2127256306,2126891758,2123799679,701139,2123390994,2390940,2,2074,-408685
https://groverale.sharepoint.com/sites/migtest12,2127256533,2126891985,2123799573,701455,2123390994,2390957,2,2074,-408579
https://groverale.sharepoint.com/sites/migtest13,2127256742,2126892194,2123799844,701391,2123390994,2390959,2,2074,-408850
https://groverale.sharepoint.com/sites/migtest14,2127257841,2126893293,2123799751,702558,2123390994,2390984,2,2074,-408757
https://groverale.sharepoint.com/sites/migtest15,2127257895,2126893347,2123799619,702773,2123390994,2390955,2,2074,-408625
https://groverale.sharepoint.com/sites/migtest16,2127257462,2126892914,2123799648,702308,2123390994,2390958,2,2074,-408654
https://groverale.sharepoint.com/sites/migtest2,2127682656,2127317008,2123864690,722540,2123390994,2729778,2,2079,-473696
https://groverale.sharepoint.com/sites/migtest3,2127962738,2127597106,2123895504,740028,2123390994,2961574,2,2083,-504510
